rule,states,require_highconf,minute_min,hold_bars,dir5_abs_min,dir10_max,exh10_q,ipg10_q,th_exh10_max,th_ipg10_min,train_n_days,train_n_trade_days,train_n_trades,train_win_rate,train_avg_net_bps,train_median_net_bps,train_p25_net_bps,train_p75_net_bps,train_first_half_avg_net_bps,train_second_half_avg_net_bps,train_total_return_unlevered,train_annual_return_unlevered,train_sharpe_unlevered,train_max_drawdown_unlevered,train_calmar_unlevered,test_n_days,test_n_trade_days,test_n_trades,test_win_rate,test_avg_net_bps,test_median_net_bps,test_p25_net_bps,test_p75_net_bps,test_first_half_avg_net_bps,test_second_half_avg_net_bps,test_total_return_unlevered,test_annual_return_unlevered,test_sharpe_unlevered,test_max_drawdown_unlevered,test_calmar_unlevered,score
ED,EMERGING_DOWN,1,30,30,0.75,0.45,0.8,-1.0,0.4911500222340841,-inf,180,38,44,0.7045454545454546,11.299289375727776,8.2581764029416,-7.628681419520753,30.90621462140485,2.541249535193247,20.057329216262307,0.050733745777413075,0.06879820273238679,2.735737581052561,-0.010565499903354314,6.511589925862843,39,10,12,0.5833333333333334,1.9184927931813747,2.800944776637847,-17.879557710765628,12.896153928382136,1.976533126626028,1.8604524597367205,0.0022484785382976824,0.014034000400056534,0.5399872053162158,-0.0038709997015854425,3.62542017099837,88.64463755886118
ED,EMERGING_DOWN,0,30,30,0.75,0.0,0.8,-1.0,0.5012803215869621,-inf,180,38,44,0.7045454545454546,11.299289375727776,8.2581764029416,-7.628681419520753,30.90621462140485,2.541249535193247,20.057329216262307,0.050733745777413075,0.06879820273238679,2.735737581052561,-0.010565499903354314,6.511589925862843,39,10,12,0.5833333333333334,2.092113429227933,2.800944776637847,-17.879557710765628,14.45873965280116,1.976533126626028,2.207693731829837,0.0024570790903550854,0.015344324040990953,0.5877034467607128,-0.0038709997015854425,3.963917650189017,88.64463755886118
ED,EMERGING_DOWN,1,30,30,0.75,0.0,0.8,-1.0,0.5012803215869621,-inf,180,38,44,0.7045454545454546,11.299289375727776,8.2581764029416,-7.628681419520753,30.90621462140485,2.541249535193247,20.057329216262307,0.050733745777413075,0.06879820273238679,2.735737581052561,-0.010565499903354314,6.511589925862843,39,10,12,0.5833333333333334,2.092113429227933,2.800944776637847,-17.879557710765628,14.45873965280116,1.976533126626028,2.207693731829837,0.0024570790903550854,0.015344324040990953,0.5877034467607128,-0.0038709997015854425,3.963917650189017,88.64463755886118
ED_CD,EMERGING_DOWN|CONFIRMED_DOWN,1,30,30,0.75,0.0,0.9,-1.0,0.6698451646538491,-inf,180,62,71,0.647887323943662,8.468944456979557,8.190357033050441,-11.453170521558642,28.62090772396337,1.7555815649840685,14.995825046419618,0.06149072278042045,0.08353487686728922,2.3342870669375415,-0.011000549481064104,7.593700388429028,39,15,18,0.5555555555555556,3.1438248222241447,2.800944776637847,-8.977717459173178,9.382583832844666,-3.333453444390653,9.621103088838943,0.005578626307299661,0.035122620825076556,1.0176378979519907,-0.005414044141473284,6.487317041991995,85.1881726568116
ED_CD,EMERGING_DOWN|CONFIRMED_DOWN,0,30,30,0.75,0.0,0.9,-1.0,0.6698451646538491,-inf,180,62,71,0.647887323943662,8.468944456979557,8.190357033050441,-11.453170521558642,28.62090772396337,1.7555815649840685,14.995825046419618,0.06149072278042045,0.08353487686728922,2.3342870669375415,-0.011000549481064104,7.593700388429028,39,15,18,0.5555555555555556,3.1438248222241447,2.800944776637847,-8.977717459173178,9.382583832844666,-3.333453444390653,9.621103088838943,0.005578626307299661,0.035122620825076556,1.0176378979519907,-0.005414044141473284,6.487317041991995,85.1881726568116
ED_CD,EMERGING_DOWN|CONFIRMED_DOWN,1,30,30,0.75,0.45,0.9,-1.0,0.6661564981847573,-inf,180,62,71,0.647887323943662,8.468944456979557,8.190357033050441,-11.453170521558642,28.62090772396337,1.7555815649840685,14.995825046419618,0.06149072278042045,0.08353487686728922,2.3342870669375415,-0.011000549481064104,7.593700388429028,39,15,18,0.5555555555555556,3.028077731526439,2.800944776637847,-8.977717459173178,9.234867042038204,-3.333453444390653,9.389608907443531,0.0053693761947910534,0.03378677286767218,0.981217239965047,-0.005414044141473284,6.240579497469341,85.1881726568116
ED,EMERGING_DOWN,0,30,30,0.75,0.0,0.9,-1.0,0.6618035477615665,-inf,180,42,48,0.6875,9.96336347977492,8.2581764029416,-9.855576633596378,30.90621462140485,1.6156555031725397,18.311071456377302,0.04871099972129489,0.06603289678823265,2.447233737730211,-0.010602052316462163,6.228312671660859,39,12,14,0.5714285714285714,5.03265505056204,2.800944776637847,-15.29027016591175,18.819164106083964,4.9930397487369635,5.072270352387114,0.006977210428467995,0.04408838594760889,1.2890709937309852,-0.00452985551229157,9.73284596561125,81.76557749114362
ED,EMERGING_DOWN,1,30,30,0.75,0.0,0.9,-1.0,0.6618035477615665,-inf,180,42,48,0.6875,9.96336347977492,8.2581764029416,-9.855576633596378,30.90621462140485,1.6156555031725397,18.311071456377302,0.04871099972129489,0.06603289678823265,2.447233737730211,-0.010602052316462163,6.228312671660859,39,12,14,0.5714285714285714,5.03265505056204,2.800944776637847,-15.29027016591175,18.819164106083964,4.9930397487369635,5.072270352387114,0.006977210428467995,0.04408838594760889,1.2890709937309852,-0.00452985551229157,9.73284596561125,81.76557749114362
ED,EMERGING_DOWN,1,30,30,0.75,0.45,0.9,-1.0,0.661139263807468,-inf,180,42,48,0.6875,9.96336347977492,8.2581764029416,-9.855576633596378,30.90621462140485,1.6156555031725397,18.311071456377302,0.04871099972129489,0.06603289678823265,2.447233737730211,-0.010602052316462163,6.228312671660859,39,12,14,0.5714285714285714,4.883837362522132,2.800944776637847,-15.29027016591175,18.298302197944288,4.9930397487369635,4.774634976307299,0.006767669285624223,0.0427409674778958,1.2522843700999742,-0.00452985551229157,9.43539310733422,81.76557749114362
ED,EMERGING_DOWN,1,45,30,0.75,0.45,0.8,-1.0,0.4911500222340841,-inf,180,34,39,0.7435897435897436,10.834667579641003,8.325995772832758,-2.579914174700881,23.397766233768113,1.9588653737331334,19.266679675253478,0.04297271857905338,0.05819806777843173,2.6138855482020475,-0.010565499903354314,5.508311798853467,39,10,12,0.5833333333333334,1.9184927931813747,2.800944776637847,-17.879557710765628,12.896153928382136,1.976533126626028,1.8604524597367205,0.0022484785382976824,0.014034000400056534,0.5399872053162158,-0.0038709997015854425,3.62542017099837,81.67023923089648
ED,EMERGING_DOWN,0,45,30,0.75,0.0,0.8,-1.0,0.5012803215869621,-inf,180,34,39,0.7435897435897436,10.834667579641003,8.325995772832758,-2.579914174700881,23.397766233768113,1.9588653737331334,19.266679675253478,0.04297271857905338,0.05819806777843173,2.6138855482020475,-0.010565499903354314,5.508311798853467,39,10,12,0.5833333333333334,2.092113429227933,2.800944776637847,-17.879557710765628,14.45873965280116,1.976533126626028,2.207693731829837,0.0024570790903550854,0.015344324040990953,0.5877034467607128,-0.0038709997015854425,3.963917650189017,81.67023923089648
ED,EMERGING_DOWN,1,45,30,0.75,0.0,0.8,-1.0,0.5012803215869621,-inf,180,34,39,0.7435897435897436,10.834667579641003,8.325995772832758,-2.579914174700881,23.397766233768113,1.9588653737331334,19.266679675253478,0.04297271857905338,0.05819806777843173,2.6138855482020475,-0.010565499903354314,5.508311798853467,39,10,12,0.5833333333333334,2.092113429227933,2.800944776637847,-17.879557710765628,14.45873965280116,1.976533126626028,2.207693731829837,0.0024570790903550854,0.015344324040990953,0.5877034467607128,-0.0038709997015854425,3.963917650189017,81.67023923089648
ED,EMERGING_DOWN,0,30,30,0.75,0.45,0.8,-1.0,0.46075912417545056,-inf,180,40,49,0.673469387755102,9.71809928041108,6.071943050410482,-7.000312552093822,23.7210108063428,1.9003239469320328,17.22316360055097,0.04848393996945455,0.06572259690789628,2.3859167709016647,-0.013839838315328978,4.748798028594168,39,10,12,0.5833333333333334,1.3864092198442943,2.800944776637847,-17.879557710765628,11.299903208370893,0.9123659799518672,1.8604524597367205,0.0016086470577514334,0.0100237457133725,0.3897685801837616,-0.0043443960299746065,2.3072817588941334,80.87366903571188
ED_CD,EMERGING_DOWN|CONFIRMED_DOWN,0,30,30,0.75,0.45,0.9,-1.0,0.6578178440369759,-inf,180,64,76,0.631578947368421,7.635699850706176,6.0607900332000035,-11.167056495269758,26.896723016614686,2.135741704439718,13.135657996972633,0.05921788439219711,0.0804168643464871,2.1452084418763926,-0.01239308231340519,6.488850982576208,39,15,18,0.5555555555555556,3.617776922395,2.800944776637847,-8.977717459173178,10.342796584407521,-2.1540550626535295,9.389608907443531,0.006438176528195116,0.040625170927584664,1.1799110212043158,-0.005414044141473173,7.503664518799152,79.80326016799792
ED,EMERGING_DOWN,0,45,30,0.75,0.45,0.8,-1.0,0.46075912417545056,-inf,180,36,45,0.7111111111111111,9.812378978243698,7.786523231340945,-6.614388421029302,23.074521661193426,2.5877850952362014,16.722860083729127,0.04492264203434648,0.06085875728003143,2.5113838486354294,-0.013839838315328978,4.397360423829835,39,10,12,0.5833333333333334,1.3864092198442943,2.800944776637847,-17.879557710765628,11.299903208370893,0.9123659799518672,1.8604524597367205,0.0016086470577514334,0.0100237457133725,0.3897685801837616,-0.0043443960299746065,2.3072817588941334,78.66510413808166
ED,EMERGING_DOWN,1,30,30,0.75,0.0,0.95,-1.0,0.7703017386462613,-inf,180,43,51,0.6666666666666666,9.077585802488892,8.190357033050441,-10.19736524539121,26.866777924246172,0.564170713949702,17.263561849161196,0.04710247036993098,0.06383517932648064,2.337908402197898,-0.013049106699083102,4.8919194852599395,39,12,15,0.5333333333333333,3.41952504214125,1.7754944011180118,-18.27406382514789,16.638951879442562,4.9930397487369635,2.0426996738699983,0.00504977619435798,0.03174924502315224,0.9395482659876508,-0.004657978146362707,6.81610003858528,76.80889828291589
ED,EMERGING_DOWN,1,30,30,0.75,0.45,0.95,-1.0,0.7701479107788056,-inf,180,43,51,0.6666666666666666,9.077585802488892,8.190357033050441,-10.19736524539121,26.866777924246172,0.564170713949702,17.263561849161196,0.04710247036993098,0.06383517932648064,2.337908402197898,-0.013049106699083102,4.8919194852599395,39,12,15,0.5333333333333333,3.2806285333040037,1.7754944011180118,-18.27406382514789,15.597228063163211,4.9930397487369635,1.7822687198001608,0.004840235051514208,0.03041519839138984,0.900450680176046,-0.004865495335779291,6.2512028667926645,76.80889828291589
ED,EMERGING_DOWN,0,30,30,0.75,0.0,0.95,-1.0,0.7703017386462613,-inf,180,43,51,0.6666666666666666,9.077585802488892,8.190357033050441,-10.19736524539121,26.866777924246172,0.564170713949702,17.263561849161196,0.04710247036993098,0.06383517932648064,2.337908402197898,-0.013049106699083102,4.8919194852599395,39,12,15,0.5333333333333333,3.41952504214125,1.7754944011180118,-18.27406382514789,16.638951879442562,4.9930397487369635,2.0426996738699983,0.00504977619435798,0.03174924502315224,0.9395482659876508,-0.004657978146362707,6.81610003858528,76.80889828291589
ED,EMERGING_DOWN,0,30,30,0.75,0.45,0.9,-1.0,0.6558249921746806,-inf,180,44,53,0.660377358490566,8.627539230892774,6.071943050410482,-9.513788021801545,23.7210108063428,1.842960352488282,15.160837410097097,0.046465524968508864,0.06296524849122087,2.1557080735352785,-0.013876269765431881,4.537620668638043,39,12,14,0.5714285714285714,4.427765728233207,2.800944776637847,-15.29027016591175,13.509550037910563,4.080896480159112,4.774634976307299,0.006124952771507264,0.03861718380774648,1.1340770596363177,-0.0045298555122914586,8.525036549832848,74.69093153654639
ED,EMERGING_DOWN,1,45,30,0.75,0.45,0.9,-1.0,0.661139263807468,-inf,180,38,43,0.7209302325581395,9.38662209542263,8.325995772832758,-8.257050286947685,23.397766233768113,2.195984087602911,16.25041292106873,0.04096491311775363,0.05546018760662941,2.2819886280435604,-0.010602052316462163,5.231080356066014,39,12,14,0.5714285714285714,4.883837362522132,2.800944776637847,-15.29027016591175,18.298302197944288,4.9930397487369635,4.774634976307299,0.006767669285624223,0.0427409674778958,1.2522843700999742,-0.00452985551229157,9.43539310733422,73.84852285724293
ED,EMERGING_DOWN,0,45,30,0.75,0.0,0.9,-1.0,0.6618035477615665,-inf,180,38,43,0.7209302325581395,9.38662209542263,8.325995772832758,-8.257050286947685,23.397766233768113,2.195984087602911,16.25041292106873,0.04096491311775363,0.05546018760662941,2.2819886280435604,-0.010602052316462163,5.231080356066014,39,12,14,0.5714285714285714,5.03265505056204,2.800944776637847,-15.29027016591175,18.819164106083964,4.9930397487369635,5.072270352387114,0.006977210428467995,0.04408838594760889,1.2890709937309852,-0.00452985551229157,9.73284596561125,73.84852285724293
ED,EMERGING_DOWN,1,45,30,0.75,0.0,0.9,-1.0,0.6618035477615665,-inf,180,38,43,0.7209302325581395,9.38662209542263,8.325995772832758,-8.257050286947685,23.397766233768113,2.195984087602911,16.25041292106873,0.04096491311775363,0.05546018760662941,2.2819886280435604,-0.010602052316462163,5.231080356066014,39,12,14,0.5714285714285714,5.03265505056204,2.800944776637847,-15.29027016591175,18.819164106083964,4.9930397487369635,5.072270352387114,0.006977210428467995,0.04408838594760889,1.2890709937309852,-0.00452985551229157,9.73284596561125,73.84852285724293
ED,EMERGING_DOWN,0,45,30,0.75,0.45,0.9,-1.0,0.6558249921746806,-inf,180,40,49,0.6938775510204082,8.625097316696742,7.786523231340945,-7.000312552093822,23.074521661193426,2.742853993080334,14.272050907368493,0.042911082815260126,0.058113993095441074,2.225353730617149,-0.013876269765431881,4.188012634361779,39,12,14,0.5714285714285714,4.427765728233207,2.800944776637847,-15.29027016591175,13.509550037910563,4.080896480159112,4.774634976307299,0.006124952771507264,0.03861718380774648,1.1340770596363177,-0.0045298555122914586,8.525036549832848,72.6287101597578
ED_CD,EMERGING_DOWN|CONFIRMED_DOWN,1,45,30,0.75,0.45,0.9,-1.0,0.6661564981847573,-inf,180,57,65,0.6615384615384615,7.30649771033259,8.190357033050441,-10.880942468980873,24.068308628954057,2.1495402668113313,12.307183716171387,0.048225046971126506,0.06536882194995708,1.976329301445097,-0.01542379652319914,4.238179740742492,39,15,18,0.5555555555555556,3.028077731526439,2.800944776637847,-8.977717459173178,9.234867042038204,-3.333453444390653,9.389608907443531,0.0053693761947910534,0.03378677286767218,0.981217239965047,-0.005414044141473284,6.240579497469341,70.66899414653294
